Gene ID,BSF Intensity,BSF rank,Desc
Tb927.8.7410,9.706833,112,"calreticulin, putative"
Tb927.11.9590,9.667903,113,"S-adenosylhomocysteine hydrolase, putative"
Tb927.7.2820,9.657976,114,"histone H2A, putative"
Tb927.7.2830,9.657976,115,"histone H2A, putative"
Tb927.7.2840,9.657976,116,"histone H2A, putative"
Tb927.7.2850,9.657976,117,"histone H2A, putative"
Tb927.7.2860,9.657976,118,"histone H2A, putative"
Tb927.7.2870,9.657976,119,"histone H2A, putative"
Tb927.7.2880,9.657976,120,"histone H2A, putative"
Tb927.7.2890,9.657976,121,"histone H2A, putative"
Tb927.7.2900,9.657976,122,"histone H2A, putative"
Tb927.7.2910,9.657976,123,"histone H2A, putative"
Tb927.7.2920,9.657976,124,"histone H2A, putative"
Tb927.7.2930,9.657976,125,"histone H2A, putative"
Tb927.7.2940,9.657976,126,"histone H2A, putative"
Tb927.11.880,9.651737,127,cyclophilin a
Tb927.11.11360,9.642228,128,receptor for activated C kinase 1
Tb927.11.11370,9.642228,129,receptor for activated C kinase 1
Tb927.11.2610,9.623392,130,"hypothetical protein, conserved"
Tb11.v5.0404,9.621932,131,"hypothetical protein, conserved"
Tb927.11.17000,9.621932,132,AIR9-like protein
Tb927.9.10770,9.615862,133,polyadenylate-binding protein 2
Tb927.9.2470,9.5983715,134,nucleolar protein
Tb927.10.12710,9.580851,135,"heat shock protein 110, putative"
Tb927.9.11580,9.562185,136,glycosomal membrane protein
Tb927.11.5520,9.562076,137,triosephosphate isomerase
Tb927.10.5810,9.55983,138,"The ARF-like 2 binding protein BART, putative"
Tb927.4.3570,9.557772,139,"translation elongation factor 1-beta, putative"
Tb927.4.3590,9.557772,140,"translation elongation factor 1-beta, putative"
Tb927.9.4680,9.5523,141,Eukaryotic initiation factor 4A-1
Tb927.7.3550,9.522513,142,"cytoskeleton associated protein, putative"
Tb927.9.5770,9.514122,143,tryparedoxin peroxidase
Tb927.9.5860,9.514122,144,tryparedoxin peroxidase
Tb927.10.3990,9.511363,145,DHH1
Tb927.3.3450,9.5048685,146,"ADP-ribosylation factor-like protein 3, putative"
Tb927.11.13500,9.4881,147,par1
Tb927.11.740,9.484299,148,eukaryotic translation initiation factor 5A
Tb11.v5.0675,9.482927,149,"ubiquitin-activating enzyme E1, putative"
Tb927.9.12650,9.482927,150,"ubiquitin-activating enzyme E1, putative"
Tb927.11.3250,9.477342,151,"dynein heavy chain, putative"
Tb927.11.16130,9.466745,152,nucleoside diphosphate kinase
Tb927.7.1320,9.46023,153,"10 kDa heat shock protein, putative"
Tb927.7.1340,9.46023,154,"10 kDa heat shock protein, putative"
Tb927.4.1300,9.455216,155,"amidinotransferase, putative"
Tb927.8.4430,9.446905,156,uridine phosphorylase
Tb927.11.13090,9.445901,157,"elongation factor 1 gamma, putative"
Tb927.11.13190,9.445901,158,"elongation factor 1 gamma, putative"
Tb927.8.1990,9.442881,159,peroxidoxin
Tb11.v5.1059,9.4366255,160,"40S ribosomal protein S4, putative"
Tb927.11.3590,9.4366255,161,"40S ribosomal protein S4, putative"
Tb927.11.3600,9.4366255,162,"40S ribosomal protein S4, putative"
Tb927.11.1090,9.435775,163,"calpain-like protein, putative"
Tb927.11.1100,9.435775,164,"cysteine peptidase, Clan CA, family C2, putative"
Tb927.9.8850,9.433319,165,actin A
Tb927.9.8880,9.433319,166,actin B
Tb927.8.8330,9.4274435,167,"cysteine peptidase, putative"
Tb927.10.1560,9.419237,168,Nucleolar protein 91
Tb927.11.2650,9.415856,169,"heat shock protein 84, putative"
Tb927.11.2050,9.412614,170,"60S acidic ribosomal protein P0, putative"
Tb927.11.2060,9.412614,171,"60S acidic ribosomal protein P0, putative"
Tb927.3.930,9.411326,172,"dynein heavy chain, putative"
Tb927.10.2010,9.406849,173,hexokinase
Tb927.1.2430,9.402556,174,"histone H3, putative"
Tb927.1.2450,9.402556,175,"histone H3, putative"
Tb927.1.2470,9.402556,176,"histone H3, putative"
Tb927.1.2490,9.402556,177,"histone H3, putative"
Tb927.1.2510,9.402556,178,"histone H3, putative"
Tb927.1.2530,9.402556,179,"histone H3, putative"
Tb927.1.2550,9.402556,180,"histone H3, putative"
Tb927.4.1790,9.401228,181,"ribosomal protein L3, putative"
Tb927.4.1800,9.401228,182,Mitochondrial ribosomal protein L3
Tb11.v5.0881,9.400441,183,"antigenic protein, putative"
Tb927.4.2070,9.400441,184,"antigenic protein, putative"
Tb927.11.9860,9.395037,185,"EF-hand domain pair, putative"
Tb927.10.7930,9.388501,186,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
Tb11.v5.0501,9.38668,187,"40S ribosomal protein S3A, putative"
Tb927.10.3940,9.38668,188,"40S ribosomal protein S3A, putative"
Tb927.10.9570,9.382904,189,"paraflagellar rod component, putative"
Tb11.v5.0435,9.370678,190,"adenylosuccinate synthetase, putative"
Tb927.11.3650,9.370678,191,"adenylosuccinate synthetase, putative"
Tb927.11.8970,9.37051,192,"ribose 5-phosphate isomerase, putative"
Tb927.10.16120,9.368777,193,inosine-5'-monophosphate dehydrogenase
Tb927.10.3210,9.364807,194,"delta-1-pyrroline-5-carboxylate dehydrogenase, putative"
Tb927.3.5050,9.357326,195,60S ribosomal protein L4
Tb927.11.6870,9.332711,196,14-3-3 protein 2
Tb927.11.7380,9.330007,197,"glycerol-3-phosphate dehydrogenase (FAD-dependent), mitochondrial"
Tb927.7.2650,9.328005,198,"hypothetical protein, conserved"
Tb927.1.3830,9.327766,199,"glucose-6-phosphate isomerase, glycosomal"
Tb11.v5.0243,9.319922,200,"40S ribosomal protein S18, putative"
Tb11.v5.1060,9.319922,201,"40S ribosomal protein S18, putative"
Tb927.10.5330,9.319922,202,"40S ribosomal protein S18, putative"
Tb927.10.5340,9.319922,203,"40S ribosomal protein S18, putative"
Tb927.8.1870,9.319707,204,Golgi/lysosome glycoprotein 1
Tb927.11.1900,9.315894,205,"T-complex protein 1, beta subunit, putative"
Tb11.v5.0411,9.313443,206,"peptidylprolyl isomerase-like protein, putative"
Tb927.10.16100,9.313443,207,"FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase, putative"
Tb927.10.15760,9.30996,208,"hypothetical protein, conserved"
Tb927.11.9530,9.304976,209,14-3-3 protein 1
Tb927.10.7090,9.293799,210,"Alternative oxidase, mitochondrial"
Tb927.11.16280,9.276213,211,"60S ribosomal protein L8, putative"
Tb927.5.1110,9.276213,212,"60S ribosomal protein L8, putative"
Tb927.11.11965,9.270764,213,"cytoskeleton-associated protein, putative"
Tb927.11.11975,9.270764,214,"cytoskeleton-associated protein, putative"
Tb927.11.11980,9.270764,215,cytoskeleton-associated protein 15
Tb11.v5.0820,9.260893,216,"branched-chain amino acid aminotransferase, putative"
Tb927.2.4590,9.260893,217,"branched-chain amino acid aminotransferase, putative"
Tb927.2.4610,9.260893,218,"branched-chain amino acid aminotransferase, putative"
Tb927.10.11300,9.2571335,219,"paraflagellar rod component, putative"
Tb927.9.7520,9.252058,220,"hypothetical protein, conserved"
Tb927.8.1330,9.2507105,221,"60S ribosomal protein L7a, putative"
Tb927.8.1340,9.2507105,222,"60S ribosomal protein L7a, putative"
Tb927.8.6660,9.237994,223,"paraflagellar rod component, putative"
Tb11.v5.0797,9.236792,224,flagellar calcium-binding protein
Tb11.v5.0798,9.236792,225,flagellar calcium-binding protein
Tb927.8.5440,9.236792,226,flagellar calcium-binding 24 kDa protein
Tb927.8.5460,9.236792,227,Flagellar calcium-binding 44 kDa protein
Tb927.8.5465,9.236792,228,flagellar calcium-binding 24 kDa protein
Tb927.8.5470,9.236792,229,flagellar calcium-binding 24 kDa protein
Tb927.2.4210,9.23523,230,"Phosphoenolpyruvate carboxykinase [ATP], glycosomal"
Tb927.10.11540,9.234313,231,"40S ribosomal protein S3, putative"
Tb927.9.6070,9.234313,232,"40S ribosomal protein S3, putative"
Tb927.10.5770,9.230405,233,Valosin-containing protein
Tb927.9.5690,9.229654,234,"60S acidic ribosomal protein, putative"
Tb927.3.3310,9.229499,235,"60S ribosomal protein L13, putative"
Tb927.3.3320,9.229499,236,"60S ribosomal protein L13, putative"
Tb927.6.5070,9.227446,237,"hypothetical protein, conserved"
Tb927.9.8070,9.226783,238,QM-like protein
Tb927.9.8420,9.226783,239,QM-like protein
Tb927.1.120,9.225896,240,"retrotransposon hot spot protein 4 (RHS4), putative"
Tb927.10.11390,9.222929,241,"60S ribosomal protein L6, putative"
Tb927.8.3150,9.221006,242,"T-complex protein 1, gamma subunit, putative"
Tb11.v5.0561,9.2203665,243,"fatty acyl CoA synthetase, putative"
Tb927.9.4210,9.2203665,244,fatty acyl CoA synthetase 3
Tb11.01.1680.v5,9.218196,245,"polyubiquitin, putative"
Tb11.v5.0537,9.218196,246,"polyubiquitin, putative"
Tb927.11.9920,9.218196,247,"polyubiquitin, putative"
Tb927.11.1840,9.216258,248,"hypothetical protein, conserved"
Tb927.10.190,9.211795,249,"40S ribosomal protein S6, putative"
Tb927.5.1210,9.211554,250,"short-chain dehydrogenase, putative"
Tb927.9.11270,9.210853,251,"t- complex protein 1 (eta subunit), putative"
Tb927.3.1120,9.20993,252,"GTP-binding nuclear protein rtb2, putative"
Tb11.v5.0265,9.209758,253,"Thioredoxin-like, putative"
Tb927.7.4520,9.209758,254,"Thioredoxin-like, putative"
Tb927.3.4070,9.206118,255,"Pyruvate transporter, putative"
Tb927.4.2080,9.205944,256,Coiled-coil and C2 domain-containing protein
Tb927.5.2940,9.205552,257,"stress-induced protein sti1, putative"
Tb927.7.710,9.205154,258,"heat shock 70 kDa protein, putative"
Tb927.8.6390,9.204543,259,"lysophospholipase, putative"
Tb927.3.2960,9.203454,260,inosine-adenosine-guanosine-nucleosidehydrolase
Tb927.11.14000,9.202092,261,nuclear RNA binding domain 1
Tb927.11.14020,9.202092,262,nuclear RNA binding domain 2
Tb11.v5.0825,9.200178,263,"fatty acyl CoA synthetase, putative"
Tb927.10.3260,9.200178,264,"Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 5) (LACS 5), putative"
Tb927.9.15110,9.198505,265,"60S ribosomal protein L5, putative"
Tb927.9.15170,9.198505,266,"60S ribosomal protein L5, putative"
Tb927.3.3760,9.197382,267,"tryparedoxin 1b, putative"
Tb927.3.3780,9.197382,268,"tryparedoxin 1a, putative"
Tb927.6.4140,9.193355,269,"paraflagellar rod component, putative"
Tb927.10.14600,9.192562,270,"40S ribosomal protein S2, putative"
Tb927.10.14710,9.192562,271,"40S ribosomal protein S2, putative"
Tb927.4.2450,9.187244,272,protein disulfide isomerase 1
Tb11.v5.0360,9.183422,273,"aminopeptidase, putative"
Tb927.11.6590,9.183422,274,"metallo-peptidase, Clan MF, Family M17"
Tb927.1.3180,9.180389,275,"40S ribosomal protein S11, putative"
Tb927.10.8190,9.177978,276,"T-complex protein 1, theta subunit, putative"
Tb927.11.14250,9.173264,277,"T-complex protein 1, epsilon subunit, putative"
Tb927.10.5610,9.171752,278,"40S ribosomal protein S9, putative"
Tb927.8.1110,9.171752,279,"40S ribosomal protein S9, putative"
Tb11.v5.0516,9.170741,280,"glyceraldehyde 3-phosphate dehydrogenase, cytosolic, putative"
Tb927.10.6880,9.170741,281,"glyceraldehyde 3-phosphate dehydrogenase, cytosolic"
Tb927.11.3240,9.169787,282,"T-complex protein 1, zeta subunit, putative"
Tb927.8.2540,9.168842,283,3-ketoacyl-CoA thiolase
Tb927.10.1100,9.1675825,284,"60S ribosomal protein L9, putative"
Tb927.6.4690,9.1675825,285,"60S ribosomal protein L9, putative"
Tb927.9.7770,9.166887,286,spermidine synthase
Tb927.11.2430,9.165787,287,"Cytoplasmic dynein 2 heavy chain (DYNC2H2), putative"
Tb927.3.3580,9.16576,288,"heat shock protein 90, putative"
Tb927.11.10790,9.159816,289,"40S ribosomal protein SA, putative"
Tb927.11.10910,9.159816,290,"40S ribosomal protein SA, putative"
Tb927.7.1730,9.157484,291,"60S ribosomal protein L7, putative"
Tb927.7.1740,9.157484,292,"60S ribosomal protein L7, putative"
Tb927.7.1750,9.157484,293,"60S ribosomal protein L7, putative"
Tb927.4.2740,9.157404,294,"p25-alpha, putative"
Tb11.0560,9.151425,295,"hypothetical protein, conserved"
Tb11.v5.0858,9.151425,296,"hypothetical protein, conserved"
Tb927.10.1170,9.151425,297,intraflagellar transport protein 172
Tb927.10.6070,9.143301,298,universal minicircle sequence binding protein 1
Tb927.4.560,9.141054,299,"Cytoplasmic dynein 2 heavy chain (DYNC2H1), putative"
Tb927.10.3840,9.137071,300,"60S ribosomal protein L18a, putative"
Tb927.11.14130,9.137071,301,"ribosomal protein L18, putative"
Tb11.0880,9.135944,302,"chrXI additional, unordered contigs"
Tb927.11.680,9.135944,303,"ribosomal protein L21E (60S), putative"
Tb927.4.1100,9.135944,304,"ribosomal protein L21E (60S), putative"
Tb927.5.3400,9.135098,305,calcium-translocating P-type ATPase
Tb927.1.4310,9.134434,306,Flagellum attachment zone protein 2
Tb927.11.11820,9.128084,307,"40S ribosomal protein S17, putative"
Tb927.11.11830,9.128084,308,"40S ribosomal protein S17, putative"
Tb11.v5.0414,9.125955,309,"ATP-dependent DEAD/H RNA helicase, putative"
Tb927.10.540,9.125955,310,"ATP-dependent RNA helicase SUB2, putative"
Tb927.8.6110,9.125333,311,"3-hydroxy-3-methylglutaryl-CoA synthase, putative"
Tb927.9.11380,9.122658,312,"60S ribosomal protein L23, putative"
Tb927.9.11410,9.122658,313,"60S ribosomal protein L23, putative"
Tb927.4.2030,9.122186,314,DNA/RNA-binding protein Alba 4
Tb927.3.1380,9.121825,315,"ATP synthase subunit beta, mitochondrial"
Tb927.3.2600,9.116308,316,"ATP-dependent DEAD/H RNA helicase, putative"
Tb927.9.13650,9.115012,317,"ADP-ribosylation factor, putative"
Tb927.9.13655,9.115012,318,"ADP-ribosylation factor, putative"
Tb927.9.13680,9.115012,319,"ADP-ribosylation factor, putative"
Tb927.9.13710,9.115012,320,"ADP-ribosylation factor, putative"
Tb927.9.13740,9.115012,321,"ADP-ribosylation factor, putative"
Tb11.v5.0587,9.109546,322,protein kinase A regulatory subunit
Tb927.11.4610,9.109546,323,protein kinase A regulatory subunit
Tb927.10.5840,9.109278,324,"translation elongation factor 1-beta, putative"
Tb927.11.760,9.108167,325,"protein phosphatase 2C, putative"
Tb927.11.11250,9.104608,326,cytosolic malate dehydrogenase
Tb927.8.890,9.102925,327,Ras-related protein Rab1A
Tb927.10.13500,9.100366,328,60S ribosomal protein L10a
Tb927.11.9710,9.100366,329,"60S ribosomal protein L10a, putative"
Tb927.10.1060,9.100086,330,"T-complex protein 1, delta subunit, putative"
Tb927.8.1550,9.098763,331,"paraflagellar rod component, putative"
Tb927.11.16760,9.096025,332,"T-complex protein 1, alpha subunit, putative"
Tb927.10.8430,9.094501,333,"40S ribosomal protein S12, putative"
Tb11.0290,9.089301,334,"chrXI additional, unordered contigs"
Tb11.0390,9.089301,335,"chrXI additional, unordered contigs"
Tb927.11.7705,9.089301,336,"ribosomal protein S11, putative"
Tb927.6.4980,9.089301,337,40S ribosomal protein S14
Tb927.8.6030,9.080134,338,"60S ribosomal protein L12, putative"
Tb927.9.14000,9.080134,339,"60S ribosomal protein L12, putative"
Tb927.11.1430,9.07888,340,Component of motile flagella 2
Tb927.3.1010,9.078025,341,"hypothetical protein, conserved"
Tb927.7.1300,9.0776,342,"protein disulfide isomerase, putative"
Tb927.10.7410,9.06238,343,"succinyl-CoA ligase [GDP-forming] beta-chain, putative"
Tb927.11.900,9.060906,344,"isocitrate dehydrogenase, putative"
Tb927.7.2980,9.059979,345,"Nitroreductase family, putative"
Tb927.7.3020,9.059979,346,"Nitroreductase family, putative"
Tb927.7.4060,9.058218,347,"cysteine peptidase, Clan CA, family C2, putative"
Tb927.6.2790,9.056184,348,L-threonine 3-dehydrogenase
Tb927.11.1980,9.054304,349,"zinc finger protein family member, putative"
Tb927.9.13380,9.053596,350,Autophagy-related protein 24
Tb927.9.3920,9.0487175,351,"ribosomal protein S7, putative"
Tb927.9.3990,9.0487175,352,"ribosomal protein S7, putative"
Tb927.11.11010,9.04532,353,"hypothetical protein, conserved"
Tb927.10.1510,9.0444975,354,CCR4-NOT transcription complex subunit 1
Tb927.11.11230,9.04447,355,"60S ribosomal protein L14, putative"
Tb927.6.720,9.04447,356,"40S ribosomal protein L14, putative"
Tb927.10.13517,9.040966,357,"40S ribosomal protein S27-like, putative"
Tb927.8.4780,9.04031,358,Flagellar Member 3
Tb927.3.4760,9.039131,359,dynamin-1-like protein
Tb927.2.5160,9.037493,360,"chaperone protein DnaJ, putative"
Tb927.3.3560,9.036157,361,"U-box domain containing protein, putative"
Tb927.5.1810,9.034814,362,lysosomal/endosomal membrane protein p67
Tb927.5.1830,9.034814,363,lysosomal/endosomal membrane protein p67
Tb927.10.15550,9.032853,364,"hypothetical protein, conserved"
Tb927.11.6300,9.030385,365,"40S ribosomal protein S5, putative"
Tb927.10.15120,9.028173,366,"40S ribosomal protein S13, putative"
Tb927.2.5910,9.028173,367,"40S ribosomal protein S13, putative"
Tb927.7.1040,9.025748,368,"40S ribosomal protein S16, putative"
Tb927.7.1050,9.025748,369,"40S ribosomal protein S16, putative"
Tb927.8.6060,9.025745,370,2-amino-3-ketobutyrate coenzyme A ligase
Tb927.11.4700,9.024904,371,prostaglandin f synthase
Tb927.7.5170,9.023848,372,60S ribosomal protein L25
Tb927.7.5180,9.023848,373,"60S ribosomal protein L23a, putative"
Tb927.4.3550,9.022812,374,"60S ribosomal protein L13a, putative"
Tb927.5.1610,9.022812,375,"60S ribosomal protein L13a, putative"
Tb11.v5.0713,9.0220175,376,"Retrotransposon hot spot protein 6 (RHS6), putative"
Tb927.4.190,9.0220175,377,"retrotransposon hot spot protein (RHS, pseudogene), putative"
Tb927.3.5180,9.019719,378,ADF/Cofilin
Tb927.7.2340,9.019071,379,"40S ribosomal protein S15, putative"
Tb927.7.2370,9.019071,380,"40S ribosomal protein S15, putative"
Tb927.6.2360,9.0178995,381,"adenosine kinase, putative"
Tb927.2.5980,9.016919,382,"chaperone protein ClpB1, putative"
Tb927.10.4110,9.014668,383,60S ribosomal protein L30
Tb927.10.4120,9.014668,384,60S ribosomal protein L30
Tb927.10.2440,9.014559,385,Metacaspase-4
Tb927.4.3740,9.012066,386,flagellar attachment zone protein 1
Tb927.11.7170,9.011848,387,seryl-tRNA synthetase
Tb927.9.8100,9.010875,388,"nascent polypeptide associated complex subunit, putative"
Tb927.9.8130,9.010875,389,"nascent polypeptide associated complex subunit, putative"
Tb11.v5.0270,9.010059,390,"nucleoside hydrolase, putative"
Tb927.7.4570,9.010059,391,inosine-guanine nucleoside hydrolase
Tb927.11.15880,9.00937,392,"60S ribosomal protein L27, putative"
Tb927.11.15900,9.00937,393,"60S ribosomal protein L27, putative"
Tb927.10.12820,9.008398,394,"hypothetical protein, conserved"
Tb11.0845,9.003338,395,"dynein light chain LC8, putative"
Tb927.11.18680,9.003338,396,"dynein light chain LC8, putative"
Tb927.11.715,9.003338,397,"dynein light chain LC8, putative"
Tb927.11.5440,9.0033,398,"NADP-dependent malic enzyme, cytosolic"
Tb927.11.4450,9.001979,399,ALBA-Domain Protein
Tb927.8.7100,9.001175,400,acetyl-CoA carboxylase
Tb927.10.7330,9.001173,401,"40S ribosomal protein S24E, putative"
Tb927.10.7340,9.001173,402,"40S ribosomal protein S24E, putative"
Tb927.10.13790,8.999716,403,"hypothetical protein, conserved"
Tb927.8.2070,8.99902,404,Present in the outer mitochondrial membrane proteome 39-1
Tb927.8.2270,8.99902,405,Present in the outer mitochondrial membrane proteome 39-3
Tb927.11.550,8.997634,406,"Suppressor of clathrin deficiency 6, putative"
Tb927.11.11690,8.996949,407,"Vacuolar proton pump subunit B, putative"
Tb927.4.1080,8.995512,408,"V-type ATPase, A subunit, putative"
Tb927.8.6150,8.994828,409,"40S ribosomal protein S8, putative"
Tb927.8.6160,8.994828,410,"40S ribosomal protein S8, putative"
Tb927.10.3660,8.994508,411,aspartate aminotransferase
Tb927.10.14500,8.988833,412,"hypothetical protein, conserved"
Tb927.7.3330,8.986902,413,Flagellar attachment zone protein 10
Tb927.4.1860,8.985637,414,"ribosomal protein S19, putative"
Tb927.10.12680,8.983589,415,"60S ribosomal protein L34, putative"
Tb927.11.9730,8.983589,416,"60S ribosomal protein L34, putative"
Tb927.2.340,8.9828,417,"retrotransposon hot spot protein 4 (RHS4), putative"
Tb927.11.3310,8.972748,418,"ubiquitin-conjugating enzyme, putative"
Tb927.2.100,8.971567,419,"retrotransposon hot spot protein 1 (RHS1), putative"
Tb927.7.1110,8.969757,420,"asparagine synthetase a, putative"
Tb927.10.3370,8.969071,421,"60S acidic ribosomal protein P2, putative"
Tb927.10.3380,8.969071,422,"60S acidic ribosomal protein P2, putative"
