Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)	
cgd6_3190	cgd6_3190-RA	CM000434:744,980..747,310(+)	60S ribosomal protein L4/L1e	1	1	1	
cgd6_3790	cgd6_3790-RA	CM000434:886,254..887,989(+)	Glyceraldehyde-3-phosphate dehydrogenase	1	2	2	
cgd6_3990	cgd6_3990-RA	CM000434:927,808..929,115(-)	Elongation factor 1-alpha	1	4	4	
cgd6_4190	cgd6_4190-RA	CM000434:979,594..980,262(+)	60S ribosomal protein L10/L16, alpha/beta hammerhead	1	1	1	
cgd6_4290	cgd6_4290-RA	CM000434:1,002,285..1,013,702(+)	MATH/TRAF domain/WD40/YVTN repeat containing protein	1	1	1	
cgd6_4460	cgd6_4460-RA	CM000434:1,053,014..1,060,690(-)	Uncharacterized protein with Armadillo-like helical	1	2	2	
cgd6_4630	cgd6_4630-RA	CM000434:1,100,123..1,100,749(+)	40S ribosomal protein S8	1	1	1	
cgd6_4850	cgd6_4850-RA	CM000434:1,155,401..1,157,131(+)	Pre-mRNA-splicing factor 19 with U box domain	1	1	1	
cgd6_4950	cgd6_4950-RA	CM000434:1,177,490..1,178,278(-)	Uncharacterized protein	1	3	3	
cgd6_5440	cgd6_5440-RA	CM000434:1,294,457..1,298,290(+)	Uncharacterized protein	1	2	2	
cgd6_5470	cgd6_5470-RA	CM000434:1,316,162..1,316,980(-)	Uncharacterized protein	1	1	1	
cgd6_880	cgd6_880-RA	CM000434:225,101..231,192(+)	Gdb1p glycogen debranching enzyme	1	1	1	
cgd7_1340	cgd7_1340-RA	CM000435:349,164..353,042(-)	Uncharacterized protein	1	2	2	
cgd7_1730	cgd7_1730-RA	CM000435:434,856..441,028(-)	CpCCp1/Cpa135	1	1	1	
cgd7_2080	cgd7_2080-RA	CM000435:512,067..513,560(+)	Mitochondrial processing peptidase, insulinase like metalloprotease	1	1	1	
cgd7_2280	cgd7_2280-RA	CM000435:549,624..550,022(-)	Ribosomal protein L40e	1	2	2	
cgd7_2420	cgd7_2420-RA	CM000435:573,460..573,807(-)	60S ribosomal protein L22	1	1	1	
cgd7_300	cgd7_300-RA	CM000435:69,239..74,263(+)	CpCCP2 extracellular protein with a signal peptide, ricin, discoidin, NEC, LCCL, 2 levanase and an apicomplexan-specific cysteine-rich repeat (ApicA repeat)	1	2	2	
cgd7_3120	cgd7_3120-RA	CM000435:731,533..733,293(-)	Thiamine pyrophosphate enzyme	1	1	1	
cgd7_3230	cgd7_3230-RA	CM000435:748,341..749,054(-)	SLBP family of RNA binding proteins	1	1	1	
cgd7_360	cgd7_360-RA	CM000435:85,466..88,324(+)	Heat shock protein 70	1	11	11	
cgd7_400	cgd7_400-RA	CM000435:94,398..96,081(+)	Uncharacterized protein	1	1	1	
cgd7_4020	cgd7_4020-RA	CM000435:906,581..912,394(-)	Cryptopsoridial mucin	1	4	4	
cgd7_4280	cgd7_4280-RA	CM000435:957,897..961,238(-)	Uncharacterized Protein	1	3	3	
cgd7_4450	cgd7_4450-RA	CM000435:1,003,446..1,004,594(-)	Elongation factor EF1-gamma (Glutathione S-transferase family)	1	1	1	
cgd7_4810	cgd7_4810-RA	CM000435:1,084,667..1,086,805(-)	Fibronectin II collagen-binding/PA14 domain containing protein	1	5	5	
cgd7_4980	cgd7_4980-RA	CM000435:1,124,880..1,131,335(+)	Uncharacterized protein	1	2	2	
cgd7_4990	cgd7_4990-RA	CM000435:1,131,455..1,151,497(-)	Ubiquitin ligase with a HECT domain at the C-terminus	1	1	1	
cgd7_5060	cgd7_5060-RA	CM000435:1,172,235..1,173,396(+)	Ribosomal protein S20	1	1	1	
cgd7_5410	cgd7_5410-RA	CM000435:1,234,591..1,237,433(+)	WD40-repeat-containing protein	1	1	1	
cgd7_910	cgd7_910-RA	CM000435:217,652..218,866(-)	 Phosphoglycerate kinase	1	1	1	
cgd8_1530	cgd8_1530-RA	CM000436:422,465..427,903(+)	Ubiquitin carboxyl terminal hydrolase domain fused to a MATH domain	1	1	1	
cgd8_1720	cgd8_1720-RA	CM000436:465,117..467,720(-)	Aldehyde/Alcohol dehydrogenase	1	2	2	
cgd8_1840	cgd8_1840-RA	CM000436:499,954..501,478(-)	Ribosomal protein S4/S9	1	1	1	
cgd8_1960	cgd8_1960-RA	CM000436:535,078..537,177(+)	Uncharacterized protein	1	1	1	
cgd8_2670	cgd8_2670-RA	CM000436:706,324..708,420(+)	Glucose-methanol-choline oxidoreductase	1	1	1	
cgd8_2730	cgd8_2730-RA	CM000436:718,307..725,208(+)	Zinc finger, RING/FYVE/PHD-type domain containg protein	1	1	1	
cgd8_2790	cgd8_2790-RA	CM000436:735,902..748,519(+)	Pleckstrin homology (PH domain) containing protein	1	4	4	
cgd8_2930	cgd8_2930-RA	CM000436:771,589..774,099(-)	GTpase translation elongation factor 2	1	1	1	
cgd8_370	cgd8_370-RA	CM000436:88,765..92,493(+)	DNA mismatch repair proteins mutS family domain containing protein	1	1	1	
cgd8_430	cgd8_430-RA	CM000436:104,129..105,298(-)	60S ribosomal protein L7A	1	1	1	
cgd8_4390	cgd8_4390-RA	CM000436:1,084,418..1,084,951(-)	Uncharacterized protein	1	2	2	
cgd8_440	cgd8_440-RA	CM000436:105,946..107,096(+)	60S ribosomal protein L5	1	1	1	
cgd8_4420	cgd8_4420-RA	CM000436:1,089,849..1,092,977(+)	WD40/YVTN/Zinc finger, RING/FYVE/PHD-type domain containg protein	1	1	1	
cgd8_4880	cgd8_4880-RA	CM000436:1,224,676..1,226,180(+)	Uncharacterized transmembrane Protein	1	1	1	
cgd8_5030	cgd8_5030-RA	CM000436:1,263,161..1,264,135(+)	Articulin family protein, Pfs77 protein-related	1	1	1	
cgd8_5230	cgd8_5230-RA	CM000436:1,298,598..1,299,302(-)	Histone H4	1	1	1	
cgd8_650	cgd8_650-RA	CM000436:163,355..164,563(+)	60S ribosomal protein L23A	1	1	1	
cgd8_680	cgd8_680-RA	CM000436:173,256..176,696(-)	Uncharacterized protein	1	1	1	
