Gene ID	source_id	Genomic Location (Gene)	Product Description	Selected Samples that match	Sum of Unique Peptides (Within Samples)	Unique Peptides (Across Samples)	
cgd2_2510	cgd2_2510-RA	CM000430:501,969..504,263(-)	Glucose-methanol-choline oxidoreductase	1	15	15	
cgd2_2530	cgd2_2530-RA	CM000430:506,527..507,555(+)	Uncharacterized protein	1	2	2	
cgd2_2550	cgd2_2550-RA	CM000430:509,271..514,880(+)	Uncharacterized protein	1	2	2	
cgd2_270	cgd2_270-RA	CM000430:62,987..65,067(+)	Eukaryotic translation initiation factor 3 subunit D	1	6	6	
cgd2_2700	cgd2_2700-RA	CM000430:553,406..554,893(+)	Brf1p like coiled coil protein	1	6	6	
cgd2_280	cgd2_280-RA	CM000430:65,281..65,898(+)	Ribosomal protein L15	1	4	4	
cgd2_3000	cgd2_3000-RA	CM000430:622,764..623,198(+)	40S ribosomal protein S16	1	5	5	
cgd2_3090	cgd2_3090-RA	CM000430:636,206..638,664(+)	Uncharacterized protein	1	2	2	
cgd2_3110	cgd2_3110-RA	CM000430:641,572..644,694(-)	Uncharacterized protein	1	7	7	
cgd2_3200	cgd2_3200-RA	CM000430:663,112..664,815(+)	Glucose-6-phosphate isomerase	1	5	5	
cgd2_3260	cgd2_3260-RA	CM000430:678,135..679,841(+)	Phosphoglucomutase	1	9	9	
cgd2_3330	cgd2_3330-RA	CM000430:695,197..697,980(-)	Hsp70 protein	1	2	2	
cgd2_3350	cgd2_3350-RA	CM000430:701,970..703,153(+)	Uncharacterized protein	1	8	8	
cgd2_3370	cgd2_3370-RA	CM000430:707,314..708,311(-)	unspecified product	1	5	5	
cgd2_3410	cgd2_3410-RA	CM000430:715,000..715,548(-)	ARF1/2 like small Gtpase	1	5	5	
cgd2_360	cgd2_360-RA	CM000430:81,272..83,699(-)	Eukaryotic translation initiation factor 3 subunit B	1	4	4	
cgd2_370	cgd2_370-RA	CM000430:84,177..85,119(-)	ARM repeats containing protein	1	4	4	
cgd2_3730	cgd2_3730-RA	CM000430:835,125..836,285(-)	Glutathione S-transferase C-terminal domain containing protein	1	1	1	
cgd2_3950	cgd2_3950-RA	CM000430:887,434..888,406(+)	Translation elongation factor EF1B/ribosomal protein S6	1	3	3	
cgd2_3960	cgd2_3960-RA	CM000430:888,597..890,530(+)	V-ATPase subunit H	1	1	1	
cgd2_3990	cgd2_3990-RA	CM000430:896,356..897,801(+)	EF-hand domain containing protein	1	2	2	
cgd2_4090	cgd2_4090-RA	CM000430:918,869..920,964(+)	50S ribosome-binding GTPase	1	1	1	
cgd2_4120	cgd2_4120-RA	CM000430:926,202..926,720(+)	Peptidyl-prolyl cis-trans isomerase	1	1	1	
cgd2_4150	cgd2_4150-RA	CM000430:929,548..932,993(+)	Articulin family protein	1	2	2	
cgd2_4180	cgd2_4180-RA	CM000430:935,795..936,262(+)	Uncharacterized protein	1	1	1	
cgd2_4260	cgd2_4260-RA	CM000430:954,778..956,145(+)	40S ribosomal protein S6	1	10	10	
cgd2_4270	cgd2_4270-RA	CM000430:956,318..960,091(+)	Secreted insulinase-like peptidase	1	1	1	
cgd2_4320	cgd2_4320-RA	CM000430:964,801..966,381(-)	Thioredoxin/glutathione reductase selenoprotein	1	6	6	
cgd2_480	cgd2_480-RA	CM000430:103,000..104,415(-)	Uncharacterized protein	1	2	2	
cgd2_490	cgd2_490-RA	CM000430:104,867..106,003(-)	Uncharacterized protein	1	16	16	
cgd2_50	cgd2_50-RA	CM000430:10,256..11,755(-)	SIK1 nucleolar protein Nop56	1	1	1	
cgd2_550	cgd2_550-RA	CM000430:116,745..117,786(+)	Mannose-P-dolichol utilization defect 1-like protein with PQ-loop repeat	1	1	1	
cgd2_620	cgd2_620-RA	CM000430:141,164..142,125(-)	Protein transport Sec61-beta/Sbh	1	1	1	
cgd2_640	cgd2_640-RA	CM000430:144,651..145,670(-)	Metallo-dependent phosphatase-like protein	1	11	11	
cgd2_740	cgd2_740-RA	CM000430:173,701..173,970(+)	Dynein light chain type 1/2	1	1	1	
cgd2_790	cgd2_790-RA	CM000430:180,906..184,649(+)	LH2/LCCL/SRCR domain containing protein	1	13	13	
cgd2_850	cgd2_850-RA	CM000430:192,429..193,367(-)	Uncharacterized protein	1	11	11	
cgd2_860	cgd2_860-RA	CM000430:193,965..194,711(-)	 Proteasome subunit beta type	1	2	2	
cgd2_900	cgd2_900-RA	CM000430:201,210..202,904(-)	TCP-1/cpn60 chaperonin	1	5	5	
cgd2_920	cgd2_920-RA	CM000430:204,966..208,052(+)	 Peptidase M16(Insulinase)	1	1	1	
cgd2_930	cgd2_930-RA	CM000430:208,478..211,519(+)	insulinase-like peptidase	1	3	3	
cgd3_1250	cgd3_1250-RA	CM000431:366,851..367,851(+)	Ribosomal protein L14	1	3	3	
cgd3_1290	cgd3_1290-RA	CM000431:372,355..373,958(-)	 14-3-3 domain containing protein	1	6	6	
cgd3_1300	cgd3_1300-RA	CM000431:374,719..375,663(-)	 60S ribosomal protein L12	1	2	2	
cgd3_1400	cgd3_1400-RA	CM000431:397,691..401,674(+)	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	1	4	4	
cgd3_1540	cgd3_1540-RA	CM000431:419,504..424,354(+)	Signal peptide containing protein	1	13	13	
cgd3_1570	cgd3_1570-RA	CM000431:430,128..430,616(-)	Profilin	1	6	6	
cgd3_1650	cgd3_1650-RA	CM000431:449,885..451,511(-)	Initiation factor eIF2 gamma subunit/Elongation factor Tu	1	1	1	
cgd3_1690	cgd3_1690-RA	CM000431:457,903..458,892(+)	Uncharacterized protein	1	2	2	
cgd3_1710	cgd3_1710-RA	CM000431:463,132..464,034(+)	Uncharacterized protein	1	2	2	
cgd3_1760	cgd3_1760-RA	CM000431:471,854..472,738(+)	Uncharacterized protein	1	3	3	
cgd3_1770	cgd3_1770-RA	CM000431:473,887..475,482(+)	Uncharacterized protein	1	1	1	
cgd3_1810	cgd3_1810-RA	CM000431:484,831..486,126(+)	Casein kinase I	1	1	1	
cgd3_1820	cgd3_1820-RA	CM000431:487,048..489,324(+)	Sec23	1	1	1	
cgd3_190	cgd3_190-RA	CM000431:41,755..44,147(-)	Fibrillin/EGF-like calcium-binding conserved site-containing protein	1	7	7	
cgd3_1940	cgd3_1940-RA	CM000431:515,198..515,716(-)	Translationally controlled tumour protein associated protein	1	2	2	
cgd3_2020	cgd3_2020-RA	CM000431:533,780..535,726(-)	Protein phosphatase 2C	1	1	1	
cgd3_2030	cgd3_2030-RA	CM000431:536,198..537,415(-)	Choline/ethanolamine kinase	1	1	1	
cgd3_2090	cgd3_2090-RA	CM000431:551,358..552,140(-)	 40S ribosomal protein Sae	1	4	4	
cgd3_2110	cgd3_2110-RA	CM000431:554,464..555,867(-)	NOP5NT/snoRNA binding domain containing protein	1	2	2	
cgd3_2170	cgd3_2170-RA	CM000431:567,762..568,581(+)	Proteasome endopeptidase complex	1	6	6	
cgd3_2200	cgd3_2200-RA	CM000431:595,554..596,309(-)	Proteasome subunit alpha type	1	1	1	
cgd3_2250	cgd3_2250-RA	CM000431:600,709..601,164(-)	60S ribosomal protein L37A	1	2	2	
cgd3_2390	cgd3_2390-RA	CM000431:627,134..628,279(-)	Proliferation-associated protein 2G4 metalloprotease	1	2	2	
cgd3_2440	cgd3_2440-RA	CM000431:636,891..637,352(-)	Ribosomal protein S18A	1	3	3	
cgd3_2530	cgd3_2530-RA	CM000431:649,635..650,474(+)	Proteasome subunit beta type	1	4	4	
cgd3_2680	cgd3_2680-RA	CM000431:679,418..680,029(+)	Signal peptidase complex subunit 3	1	2	2	
cgd3_2690	cgd3_2690-RA	CM000431:680,105..682,000(-)	DnaJ domain containing protein	1	2	2	
cgd3_300	cgd3_300-RA	CM000431:86,603..88,443(-)	nuclear transport factor 2/RRM domain containing protein	1	2	2	
cgd3_3120	cgd3_3120-RA	CM000431:784,931..785,938(-)	AOX/Alternative oxidase	1	1	1	
cgd3_3150	cgd3_3150-RA	CM000431:790,379..791,035(-)	Rab5 like small Gtpase	1	1	1	
cgd3_3200	cgd3_3200-RA	CM000431:799,471..800,739(-)	Deoxyribose-phosphate aldolase	1	4	4	
cgd3_330	cgd3_330-RA	CM000431:97,253..98,107(+)	unspecified product	1	4	4	
cgd3_3370	cgd3_3370-RA	CM000431:836,478..841,001(-)	Uncharacterized protein	1	35	35	
cgd3_3430	cgd3_3430-RA	CM000431:855,744..861,053(-)	Amine oxidase	1	6	6	
cgd3_3510	cgd3_3510-RA	CM000431:880,672..881,037(+)	Uncharacterized protein	1	1	1	
cgd3_3580	cgd3_3580-RA	CM000431:897,496..898,854(-)	DRG-like OBG family Gtpase with RNA binding/TGS domain	1	2	2	
cgd3_3610	cgd3_3610-RA	CM000431:904,632..906,038(+)	Aminopeptidase I zinc metalloprotease (M18)	1	3	3	
cgd3_3770	cgd3_3770-RA	CM000431:940,090..942,225(+)	 Hsp90	1	16	16	
cgd3_3790	cgd3_3790-RA	CM000431:945,329..946,488(-)	60S ribosomal protein L19	1	4	4	
cgd3_3830	cgd3_3830-RA	CM000431:952,513..954,473(-)	Protein-tyrosine phosphatase-like protein with PUB domain	1	1	1	
cgd3_3840	cgd3_3840-RA	CM000431:955,802..959,460(+)	Isoleucine-tRNA synthetase	1	1	1	
cgd3_3850	cgd3_3850-RA	CM000431:959,837..961,399(+)	PUA/Pseudouridine synthase II N-terminal/Dyskerin-like/tRNA pseudouridylate synthase B C-terminal domain containing protein	1	1	1	
cgd3_3890	cgd3_3890-RA	CM000431:969,037..969,741(-)	60S ribosomal protein L30	1	1	1	
cgd3_3930	cgd3_3930-RA	CM000431:978,676..979,448(+)	60S ribosomal protein L27A	1	1	1	
cgd3_4020	cgd3_4020-RA	CM000431:994,166..994,954(-)	CSN8/PSMD8/EIF3K	1	1	1	
cgd3_460	cgd3_460-RA	CM000431:141,730..142,386(+)	Glutathione peroxidase	1	6	6	
cgd3_490	cgd3_490-RA	CM000431:147,172..148,470(+)	GDP-fucose transporter	1	2	2	
cgd3_530	cgd3_530-RA	CM000431:155,559..162,416(+)	Uncharacterized protein	1	1	1	
cgd3_600	cgd3_600-RA	CM000431:177,562..181,851(+)	Uncharacterized protein	1	3	3	
cgd3_640	cgd3_640-RA	CM000431:188,831..191,445(+)	Acyl-CoA synthetase	1	4	4	
cgd3_650	cgd3_650-RA	CM000431:191,587..195,326(-)	Uncharacterized protein	1	2	2	
cgd3_860	cgd3_860-RA	CM000431:277,955..278,524(+)	ARF/SAR type Small GTPase superfamily	1	1	1	
cgd3_920	cgd3_920-RA	CM000431:285,974..287,590(+)	Calmodulin-domain protein kinase 1	1	3	3	
cgd4_1030	cgd4_1030-RA	CM000432:279,257..280,315(+)	Eukaryotic translation initiation factor 3 subunit G	1	1	1	
cgd4_1170	cgd4_1170-RA	CM000432:304,918..306,608(+)	26S proteasome subunit P45	1	3	3	
cgd4_1230	cgd4_1230-RA	CM000432:312,998..313,381(-)	60S ribosomal protein L28	1	3	3	
cgd4_1350	cgd4_1350-RA	CM000432:334,303..337,179(+)	RCC1/WD40/YVTN/Zinc finger, RanBP2-type containing protein	1	1	1	
cgd4_1470	cgd4_1470-RA	CM000432:368,103..371,536(+)	V-type proton ATPase subunit a	1	1	1	
cgd4_1590	cgd4_1590-RA	CM000432:397,428..404,896(+)	Chromodomain-helicase-DNA-binding'multidomain chromatin protein with the following architecture: chromo-bromo-chromo-SNF2 ATpase	1	2	2	
cgd4_1650	cgd4_1650-RA	CM000432:418,453..419,227(+)	Thioredoxin	1	2	2	
cgd4_1770	cgd4_1770-RA	CM000432:445,901..446,629(-)	Mitochondrial biogenesis protein AIM24	1	1	1	
cgd4_1940	cgd4_1940-RA	CM000432:479,399..479,920(+)	Nucleoside diphosphate kinase	1	4	4	
cgd4_1970	cgd4_1970-RA	CM000432:482,437..483,111(+)	Uncharacterized transmembrane Protein	1	1	1	
cgd4_2260	cgd4_2260-RA	CM000432:542,681..543,637(-)	 60S acidic ribosomal protein P0	1	7	7	
cgd4_2280	cgd4_2280-RA	CM000432:545,269..546,030(-)	Uncharacterized protein	1	1	1	
cgd4_2300	cgd4_2300-RA	CM000432:547,286..550,489(+)	Ubiquitin-activating enzyme E1	1	6	6	
cgd4_2400	cgd4_2400-RA	CM000432:567,738..568,384(+)	60S ribosomal protein L31	1	3	3	
cgd4_2460	cgd4_2460-RA	CM000432:576,982..577,881(-)	Uncharacterized protein	1	1	1	
cgd4_250	cgd4_250-RA	CM000432:66,523..67,613(+)	 Proteasome subunit alpha type	1	3	3	
cgd4_2540	cgd4_2540-RA	CM000432:587,806..589,011(+)	ClpA/B family/26S proteasome subunit P45	1	4	4	
cgd4_2580	cgd4_2580-RA	CM000432:596,652..599,096(+)	Oxysterol-binding/PH domain containing protein	1	1	1	
cgd4_260	cgd4_260-RA	CM000432:68,164..72,818(+)	WD40-repeat-containing protein	1	5	5	
cgd4_2600	cgd4_2600-RA	CM000432:600,339..601,376(-)	UDP-glucose 4-epimerase	1	6	6	
cgd4_2720	cgd4_2720-RA	CM000432:628,597..633,183(+)	p-type Atpase	1	2	2	
cgd4_2780	cgd4_2780-RA	CM000432:641,190..642,275(-)	DnaJ domain containing protein	1	2	2	
cgd4_2860	cgd4_2860-RA	CM000432:656,392..657,771(+)	Tubulin alpha chain	1	7	7	
cgd4_2910	cgd4_2910-RA	CM000432:703,627..705,711(+)	Peptidase M24	1	2	2	
cgd4_2980	cgd4_2980-RA	CM000432:716,001..718,115(-)	RhoGAP domain containing protein	1	5	5	
cgd4_300	cgd4_300-RA	CM000432:78,301..79,915(-)	Alpha/Beta hydrolase	1	6	6	
cgd4_3000	cgd4_3000-RA	CM000432:719,728..721,836(-)	Dbp1p, eIF4a-1 family RNA SFII helicase (DEXDC+HELICc)	1	2	2	
cgd4_3090	cgd4_3090-RA	CM000432:731,601..733,217(+)	Oocyst wall protein 6	1	22	22	
cgd4_3130	cgd4_3130-RA	CM000432:743,477..744,235(-)	Translation initiation factor IF6	1	2	2	
cgd4_3160	cgd4_3160-RA	CM000432:748,419..749,995(+)	40S ribosomal protein S3a	1	12	12	
cgd4_3220	cgd4_3220-RA	CM000432:755,495..756,899(-)	Histone H3	1	2	2	
cgd4_3270	cgd4_3270-RA	CM000432:764,923..767,343(+)	Hsp70 protein	1	5	5	
cgd4_3290	cgd4_3290-RA	CM000432:771,861..773,408(-)	Articulin family protein/adjacent paralogous protein	1	11	11	
cgd4_330	cgd4_330-RA	CM000432:83,059..83,517(-)	Uncharacterized protein	1	1	1	
cgd4_3300	cgd4_3300-RA	CM000432:774,611..775,405(+)	unspecified product	1	4	4	
cgd4_3330	cgd4_3330-RA	CM000432:781,535..784,658(-)	Protein kinase/EF-hand domain containing protein	1	1	1	
cgd4_3400	cgd4_3400-RA	CM000432:798,953..801,578(-)	AMP-dependent synthetase/ligase	1	2	2	
cgd4_3450	cgd4_3450-RA	CM000432:821,305..830,094(-)	Uncharacterized protein	1	2	2	
cgd4_3530	cgd4_3530-RA	CM000432:844,538..850,791(-)	Uncharacterized protein	1	26	26	
cgd4_3580	cgd4_3580-RA	CM000432:862,776..865,477(-)	Protein kinase-like domain containing protein (HCD gene family)	1	2	2	
cgd4_3620	cgd4_3620-RA	CM000432:875,199..875,815(-)	Immunodominant antigen 23393226	1	2	2	
cgd4_3650	cgd4_3650-RA	CM000432:882,949..884,993(+)	Uncharacterized protein	1	1	1	
cgd4_3770	cgd4_3770-RA	CM000432:916,442..919,564(+)	Eukaryotic translation initiation factor 3 subunit C	1	2	2	
cgd4_3850	cgd4_3850-RA	CM000432:942,785..944,464(-)	T-complex protein 1 subunit gamma	1	4	4	
cgd4_3860	cgd4_3860-RA	CM000432:945,289..947,624(+)	TCP-1/cpn60 chaperonin	1	2	2	
cgd4_3950	cgd4_3950-RA	CM000432:968,903..972,130(+)	RPN2/26s proteasome regulatory subunit	1	6	6	
cgd4_40	cgd4_40-RA	CM000432:11,623..13,671(+)	Ubiquitin-like modifier-activating enzyme Apg7	1	4	4	
cgd4_4020	cgd4_4020-RA	CM000432:986,590..987,872(+)	Ribosomal protein S5	1	4	4	
cgd4_4040	cgd4_4040-RA	CM000432:989,612..991,048(+)	GTP binding/Guanine nucleotide-binding protein-like 3 N-terminal domain containing protein	1	1	1	
cgd4_4080	cgd4_4080-RA	CM000432:998,380..999,801(+)	GDP dissociation inhibitor	1	2	2	
cgd4_4400	cgd4_4400-RA	CM000432:1,075,335..1,076,315(-)	Uncharacterized protein	1	4	4	
cgd4_4460	cgd4_4460-RA	CM000432:1,088,058..1,089,653(+)	Bifunctional dihydrofolate reductase/thymidylate synthase	1	2	2	
cgd4_450	cgd4_450-RA	CM000432:107,852..115,123(-)	Proteasome activator Blm10 mid region-containing protein	1	2	2	
cgd4_470	cgd4_470-RA	CM000432:117,882..118,673(-)	60S ribosomal protein L18	1	6	6	
cgd4_500	cgd4_500-RA	CM000432:129,551..132,704(+)	Oocyst wall protein 7	1	4	4	
cgd4_540	cgd4_540-RA	CM000432:144,457..146,113(+)	V-type proton ATPase subunit C	1	1	1	
cgd4_670	cgd4_670-RA	CM000432:179,439..182,255(-)	Oocyst wall protein 3	1	6	6	
cgd4_690	cgd4_690-RA	CM000432:186,505..192,309(+)	Pyruvate:ferredoxin oxidoreductase/NADPH-cytochrome P450 reductase PNO	1	6	6	
cgd4_700	cgd4_700-RA	CM000432:192,796..194,085(-)	Uncharacterized protein	1	4	4	
cgd4_740	cgd4_740-RA	CM000432:199,497..200,304(-)	Thioredoxin peroxidase-like protein	1	12	12	
cgd4_840	cgd4_840-RA	CM000432:226,267..227,281(-)	60S ribosomal protein L24	1	3	3	
cgd4_850	cgd4_850-RA	CM000432:227,783..234,058(-)	Uncharacterized Secreted Protein (CpLSP gene family)	1	1	1	
cgd5_1270	cgd5_1270-RA	CM000433:285,355..286,482(+)	Translocation protein Sec62	1	1	1	
cgd5_1363	cgd5_1363-RA	CM000433:303,204..304,382(+)	Synaptobrevin	1	1	1	
cgd5_1370	cgd5_1370-RA	CM000433:304,428..305,333(+)	Uncharacterized protein	1	3	3	
cgd5_1470	cgd5_1470-RA	CM000433:323,036..323,749(-)	Nucleoside diphosphate kinase	1	3	3	
cgd5_1480	cgd5_1480-RA	CM000433:324,059..327,763(+)	Uncharacterized Secreted Protein	1	2	2	
cgd5_1490	cgd5_1490-RA	CM000433:328,032..335,810(+)	Uncharacterized Secreted Protein	1	1	1	
cgd5_1580	cgd5_1580-RA	CM000433:345,541..347,043(+)	Ribosomal protein L3	1	6	6	
